РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1227	Гайдар Е.Т.	Государство и эволюция				hum\гайдар е.т.	гайдар е.т._государство и эволюция#00Jn.zip
Социально-гуманитарная литература	соц. политика	1228	Галковский Д.	РУССКАЯ ПОЛИТИКА И РУССКАЯ ФИЛОСОФИЯ				hum	галковский д._русская политика и русская философия#00Jo.zip
Социально-гуманитарная литература	соц. политика	1229	Гидденс Э.	Ускользающий мир: как глобализация меняет нашу жизнь.	Пер. с англ. М.: Издательство <Весь Мир>, 2004. 120 с.			hum\гидденс э.	гидденс э._ускользающий мир - как глобализация меняет нашу жизнь#00Jp.zip
Социально-гуманитарная литература	соц. политика	1230	Григорьев П.В.	ТЕОРЕТИЧЕСКАЯ ПОЛИТОЛОГИЯ				hum	григорьев п.в._теоретическая политология#00Jq.zip
Социально-гуманитарная литература	соц. политика	1231	Гусев Д.Г., Матвейчев О.А., Хазеев, С. Ю. Чернаков Р. Р.	Уши машут ослом. Современное социальное программирование.				hum	уши машут ослом. современное социальное программирование#00Jr.zip
Социально-гуманитарная литература	соц. политика	1232	Девятов А.П.	"""""""Красный дракон. Китай и Россия в XXI веке"""""""				hum	девятов а.п._красный дракон. китай и россия в xxi веке#00Js.zip
Социально-гуманитарная литература	соц. политика	1233	Дегтярев А.А.	Основы политической теории				hum	дегтярев а.а._основы политической теории#00Jt.zip
Социально-гуманитарная литература	соц. политика	1234	Делягин М.	Мировой кризис: Общая Теория Глобализации				hum	делягин м._мировой кризис - общая теория глобализации#00Ju.zip
Социально-гуманитарная литература	соц. политика	1235	Дикий А.	РУССКО-ЕВРЕЙСКИЙ ДИАЛОГ				hum\дикий а.	дикий а._русско-еврейский диалог#00Jv.zip
Социально-гуманитарная литература	соц. политика	1236	Дугин А.	Введение в геополитику				hum\дугин а.	Введение в геополитику#00Jwzip
Социально-гуманитарная литература	соц. политика	1237	Дугин А.	Книги и статьи				hum\дугин а.	Книги и статьи#00Jxzip
Социально-гуманитарная литература	соц. политика	1238	Дугин А.	Основы геополитики (часть 1)				hum\дугин а.	Основы геополитики (часть 1)#00Jyzip
Социально-гуманитарная литература	соц. политика	1239	Дугин А.	ФИЛОСОФИЯ политики				hum\дугин а.	ФИЛОСОФИЯ политики#00Jzzip
Социально-гуманитарная литература	соц. политика	1240	Зарубин в.Г.	Российский избиратель				hum	зарубин в.г._российский избиратель#00K0.zip
Социально-гуманитарная литература	соц. политика	1241	Зюганов Г.А.	География победы - Основы российской геополитики	Зюганов Г.А. География победы: Основы российской геополитики. - М., 1997. - 304 с.			hum\зюганов г.а.	зюганов г.а._география победы - основы российской геополитики#00K1.zip
Социально-гуманитарная литература	соц. политика	1242	Зюганов Г.А.	Глобализация - тупик или выход				hum\зюганов г.а.	зюганов г.а._глобализация - тупик или выход#00K2.zip
Социально-гуманитарная литература	соц. политика	1243	Иванов В.Н., Патрушев В.И.	ИННОВАЦИОННЫЕ СОЦИАЛЬНЫЕ ТЕХНОЛОГИИ ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УП	E:\bon\mylib\files1\1Иванов В.Н., Патрушев В.И. ИННОВАЦИОННЫЕ СОЦИАЛЬНЫЕ ТЕХНОЛОГИИ ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УПРАВЛЕНИЯ.lnk			hum	инновационные социальные технологии государственного и муниципального уп#00K3.zip
Социально-гуманитарная литература	соц. политика	1244	Кабанов П.А.	Политическая коррупция в России: понятие, сущность, причины, предупреждение: Монография.	К 12 Кабанов П.А. Политическая коррупция в России: понятие, сущность, причины, предупреждение: Монография. Нижнекамск: Нижнекамский филиал МГЭИ, 2004. 174с.			hum	кабанов п.а._политическая коррупция в россии#00K4.zip
Социально-гуманитарная литература	соц. политика	1245	Каковкин Г.	Интервью с Егором Гайдаром (Третий путь ведет только в третий мир)				hum	каковкин г._интервью с егором гайдаром (третий путь ведет только в третий мир)#00K5.zip
Социально-гуманитарная литература	соц. политика	1246	Кара-Мурза С.,  Александров А.,  Мурашкин М., Телегин С.	Экспорт революции				hum	экспорт революции#00K6.zip
Социально-гуманитарная литература	соц. политика	1247	Кара-мурза С.г.	Идеология и мать её наука	"С. Г. Кара-Мурза ""Идеология и мать её наука"". (Серия: Тропы практического разума.) - М.: Алгоритм, 2002."			hum\кара-мурза с.г.	кара-мурза с.г._идеология и мать её наука#00K7.zip
